Customer ID,Customer First Name,Customer Last Name,Segment,City,State,Country,Region,Age,,,,,,,,,
AB-00014,Aaron,Bergman,Corporate,Halle,SaxonyAnhalt,Germany,Central,57,,,,,,,,,
AS-00460,Aaron,Smayling,Corporate,Dresden,Saxony,Germany,Central,61,,,,,,,,Enter First Name,Aaron
AS-00312,Aaron,Smayling,Home Office,Port Macquarie,New South Wales,Australia,Oceania,72,,,,,,,,Enter Last Name,Hawkins
AH-00052,Aaron,Hawkins,Consumer,Minden,North RhineWestphalia,Germany,Central,72,,,,,,,,City,Minden
AB-01482,Adam,Bellavance,Corporate,Kwinana,Western Australia,Australia,Oceania,57,,,,,,,,,
AB-01343,Adam,Bellavance,Corporate,Kaiyuan,Liaoning,China,North Asia,79,,,,,,,,,
AB-01473,Adam,Bellavance,Consumer,Medan,Sumatera Utara,Indonesia,Southeast Asia,64,,,,,,,,,
AB-01525,Adrian,Barton,Corporate,Wetzlar,Hesse,Germany,Central,78,,,,,,,,,
AB-01494,Adrian,Barton,Consumer,Zigong,Sichuan,,North Asia,30,,,,,,,,,
AS-01405,Alan,Shonely,Corporate,Canberra,Australian Capital Territory,Australia,Oceania,57,,,,,,,,,
AS-01458,Alan,Schoenberger,Home Office,Anshan,Liaoning,China,North Asia,40,,,,,,,,,
AB-02405,Alejandro,Ballentine,Consumer,Mannheim,BadenWŸrttemberg,Germany,Central,39,,,,,,,,,
AG-02487,Alejandro,Grove,Consumer,Whyalla,South Australia,Australia,Oceania,37,,,,,,,,,
AG-00272,Alex,Grayson,Consumer,Anyang,Henan,China,North Asia,60,,,,,,,,,
AA-02503,Alex,Avila,Consumer,Agra,Uttar Pradesh,India,Central Asia,67,,,,,,,,,
AA-02455,Alex,Avila,Consumer,Berlin,Berlin,Germany,Central,42,,,,,,,,,
AA-02321,Alex,Avila,Corporate,Newcastle,New South Wales,Australia,Oceania,66,,,,,,,,,
AM-00201,Alice,McCarthy,Consumer,Berlin,Berlin,Germany,Central,30,,,,,,,,,
AR-00275,Allen,Rosenblatt,Consumer,Chaozhou,Guangdong,China,North Asia,74,,,,,,,,,
AA-02045,Allen,Armold,Consumer,Wuchuan,Guangdong,China,North Asia,43,,,,,,,,,
AT-02059,Alyssa,Tate,Home Office,Wafangdian,Liaoning,China,North Asia,61,,,,,,,,,
AG-00731,Andrew,Gjertsen,Consumer,Hamburg,Hamburg,Germany,Central,56,,,,,,,,,
AY-01084,Andy,Yotov,Home Office,Samarinda,Kalimantan Timur,Indonesia,Southeast Asia,32,,,,,,,,,
AR-01036,Anemone,Ratner,Consumer,Pune,Maharashtra,India,Central Asia,41,,,,,,,,,
AR-02049,Anemone,Ratner,Consumer,Berlin,Berlin,Germany,Central,29,,,,,,,,,
AC-01475,Ann,Chong,Corporate,Sydney,New South Wales,Australia,Oceania,62,,,,,,,,,
AG-00132,Anna,Gayman,Consumer,Surat,Gujarat,India,Central Asia,26,,,,,,,,,
AG-00107,Anna,Gayman,Consumer,Jakarta,Jakarta,Indonesia,Southeast Asia,65,,,,,,,,,
AT-01841,Annie,Thurman,Consumer,Sydney,New South Wales,Australia,Oceania,51,,,,,,,,,
AZ-01971,Annie,Zypern,Consumer,Brisbane,Queensland,Australia,Oceania,26,,,,,,,,,
AR-01727,Anthony,Rawles,Corporate,Samarinda,Kalimantan Timur,Indonesia,Southeast Asia,58,,,,,,,,,
AO-01810,Anthony,O'Donnell,Corporate,Berlin,Berlin,Germany,Central,33,,,,,,,,,
AG-02636,Anthony,Garverick,Corporate,Delhi,Delhi,India,Central Asia,44,,,,,,,,,
AO-01811,Anthony,O'Donnell,Consumer,Perth,Western Australia,Australia,Oceania,73,,,,,,,,,
AF-01644,Art,Foster,Consumer,Devonport,Tasmania,Australia,Oceania,73,,,,,,,,,
AP-00833,Arthur,Prichep,Consumer,Minden,North RhineWestphalia,Germany,Central,58,,,,,,,,,
BB-01780,Barry,Blumstein,Consumer,Toowoomba,Queensland,Australia,Oceania,42,,,,,,,,,
BF-03559,Barry,Franzšsisch,Corporate,Bendigo,Victoria,Australia,Oceania,64,,,,,,,,,
BF-02883,Barry,Franzšsisch,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,74,,,,,,,,,
BB-01661,Barry,Blumstein,Consumer,Gold Coast,Queensland,Australia,Oceania,68,,,,,,,,,
BF-04513,Bart,Folk,Consumer,Melbourne,Victoria,Australia,Oceania,42,,,,,,,,,
BC-04366,Becky,Castell,Corporate,Berlin,Berlin,Germany,Central,42,,,,,,,,,
BP-02948,Becky,Pak,Corporate,Mandurah,Western Australia,Australia,Oceania,46,,,,,,,,,
BP-02924,Becky,Pak,Consumer,Geelong,Victoria,Australia,Oceania,68,,,,,,,,,
BP-04400,Ben,Peterman,Consumer,Bielefeld,North RhineWestphalia,Germany,Central,48,,,,,,,,,
BW-04476,Ben,Wallace,Home Office,Shanghai,Shanghai,China,North Asia,55,,,,,,,,,
BP-05211,Benjamin,Patterson,Corporate,Wollongong,New South Wales,Australia,Oceania,75,,,,,,,,,
BP-05220,Benjamin,Patterson,Home Office,Tamworth,New South Wales,Australia,Oceania,45,,,,,,,,,
BT-03583,Beth,Thompson,Corporate,Lohne,Lower Saxony,Germany,Central,31,,,,,,,,,
BS-04835,Bill,Stewart,Consumer,Wenling,Zhejiang,China,North Asia,58,,,,,,,,,
BE-03161,Bill,Eplett,Corporate,Newcastle,New South Wales,Australia,Oceania,71,,,,,,,,,
BS-03416,Bill,Shonely,Home Office,Jinjiang,Fujian,China,North Asia,59,,,,,,,,,
BD-04524,Bill,Donatelli,Corporate,Kamarhati,West Bengal,India,Central Asia,39,,,,,,,,,
BO-04939,Bobby,Odegard,Corporate,Adelaide,South Australia,Australia,Oceania,26,,,,,,,,,
BT-03392,Brad,Thomas,Consumer,Udaipur,Tripura,India,Central Asia,30,,,,,,,,,
BE-04222,Brad,Eason,Consumer,Oberhausen,North RhineWestphalia,Germany,Central,78,,,,,,,,,
BT-03364,Brad,Thomas,Home Office,Bochum,North RhineWestphalia,Germany,Central,37,,,,,,,,,
BE-04202,Brad,Eason,Corporate,Bogor,Jawa Barat,Indonesia,Southeast Asia,32,,,,,,,,,
BD-04172,Bradley,Drucker,Corporate,Sydney,New South Wales,Australia,Oceania,80,,,,,,,,,
BN-04936,Bradley,Nguyen,Corporate,Shenzhen,Guangdong,China,North Asia,36,,,,,,,,,
